Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Revolving_Bal,Avg_Utilization_Ratio,Total_Relationship_Count,Total_Amt_Chng_Q4_Q1,Credit_Limit,Customer_Age,Marital_Status,Attrition_Flag
4413,77,0.75,0,0.0,4,0.812,1686.0,45,3,0
4485,86,0.755,1073,0.031,4,0.558,34516.0,53,1,0
2427,51,0.645,0,0.0,3,0.688,34516.0,43,1,1
783,20,0.667,1299,0.093,5,0.842,13961.0,39,1,1
947,33,0.571,978,0.68,2,0.773,1438.3,52,1,1
1289,22,1.0,1960,0.085,4,0.619,23032.0,49,1,0
16177,122,0.848,1987,0.058,3,0.673,34516.0,43,3,0
4676,68,0.659,1642,0.178,4,0.416,9231.0,54,1,0
1988,30,0.579,1073,0.041,4,1.288,26222.0,42,3,0
4551,65,0.667,1183,0.822,3,0.841,1438.3,53,3,0
2128,39,0.345,0,0.0,1,0.399,29715.0,40,0,1
3931,77,0.791,668,0.019,4,0.894,34516.0,50,3,0
15860,105,0.75,1698,0.222,2,0.992,7659.0,49,1,0
3157,59,0.844,0,0.0,6,0.82,7587.0,40,1,0
2950,64,0.684,1034,0.073,3,0.505,14111.0,53,0,0
7688,93,0.409,1155,0.628,2,0.742,1838.0,49,2,0
4434,69,0.568,0,0.0,5,0.829,1994.0,49,3,0
4965,74,0.805,0,0.0,3,1.058,1623.0,56,1,0
4628,69,0.971,0,0.0,3,0.766,2153.0,53,1,0
14934,113,0.823,2267,0.748,1,0.842,3029.0,52,1,0
4194,78,0.857,994,0.53,2,0.713,1874.0,53,1,0
1015,36,0.44,0,0.0,3,0.759,3578.0,42,3,1
4015,77,0.75,1219,0.146,3,0.644,8376.0,41,1,0
2944,71,0.972,0,0.0,4,0.742,16317.0,45,3,0
2074,81,0.8,0,0.0,5,0.803,1950.0,28,1,0
4097,70,0.707,1478,0.792,6,0.727,1867.0,50,3,0
2299,39,0.444,2246,0.404,6,0.518,5557.0,42,3,1
4109,70,1.0,0,0.0,2,0.74,2969.0,40,0,0
2755,53,0.559,759,0.343,6,0.892,2210.0,45,0,0
3875,67,0.595,1287,0.439,4,0.497,2929.0,56,0,0
3901,77,0.711,2010,0.649,6,0.668,3095.0,34,1,0
15331,106,0.767,0,0.0,1,0.722,3759.0,46,1,0
1927,47,0.382,1188,0.525,6,0.84,2263.0,35,3,0
4074,73,0.872,888,0.541,5,0.715,1640.0,42,3,0
4027,67,0.634,1990,0.734,4,0.7,2713.0,56,3,0
6549,75,0.974,1273,0.051,4,0.437,24844.0,45,3,1
2916,45,0.957,1656,0.588,4,1.404,2818.0,38,3,0
3381,51,0.594,2225,0.128,3,0.814,17437.0,45,2,0
4050,72,0.5,509,0.053,4,0.625,9595.0,49,1,0
4755,58,0.706,773,0.103,6,0.688,7540.0,51,3,0
3922,51,0.645,1413,0.381,1,0.175,3711.0,34,1,1
1686,34,0.7,2024,0.691,5,0.903,2930.0,37,3,0
16220,120,0.69,824,0.218,1,0.809,3787.0,42,1,0
3511,56,0.931,0,0.0,4,1.001,1788.0,37,3,0
4054,75,0.364,1871,0.054,3,0.356,34516.0,50,3,0
3787,68,0.619,600,0.084,6,0.813,7108.0,63,1,0
4140,69,0.816,1052,0.039,6,1.034,26729.0,55,2,0
4450,73,0.698,0,0.0,5,1.016,2406.0,58,0,0
7242,95,0.508,2451,0.258,3,0.637,9484.0,43,3,0
4708,81,0.558,888,0.396,3,0.661,2242.0,50,0,0
5248,89,0.745,0,0.0,1,0.593,4688.0,45,1,0
3154,59,0.967,930,0.153,6,1.307,6085.0,48,3,0
2204,60,0.667,2160,0.155,4,0.73,13911.0,50,2,0
4062,65,0.711,0,0.0,3,0.75,9725.0,33,2,0
1902,35,0.4,0,0.0,6,0.315,1544.0,56,3,1
2177,59,0.788,2129,0.718,6,1.075,2967.0,55,3,0
4433,68,0.659,2044,0.666,5,0.91,3071.0,63,1,0
1767,28,0.647,1813,0.533,5,0.653,3402.0,38,3,0
3821,81,0.841,2330,0.075,3,0.65,30997.0,40,2,0
4949,76,0.551,2053,0.737,3,0.76,2787.0,41,1,0
2241,36,0.8,0,0.0,4,0.482,1522.0,49,3,1
2874,58,0.657,1243,0.066,6,1.148,18951.0,37,3,0
5267,83,0.886,2136,0.83,3,0.722,2575.0,42,1,0
2064,46,0.917,1638,0.639,5,0.681,2563.0,37,2,0
4349,90,0.731,2033,0.67,1,0.642,3034.0,54,3,0
2487,39,0.393,2517,0.866,2,0.725,2905.0,30,3,1
1871,32,0.684,783,0.056,2,0.749,13883.0,43,3,1
4404,77,0.75,1479,0.69,1,0.708,2143.0,45,3,0
3562,72,0.895,984,0.191,4,0.842,5162.0,55,1,0
2928,48,1.4,890,0.619,4,1.143,1438.3,46,0,0
4361,75,0.63,2196,0.883,3,0.733,2488.0,54,1,0
4456,75,0.974,0,0.0,2,0.726,4451.0,41,0,0
3915,74,0.644,824,0.255,5,0.796,3232.0,49,2,0
2168,42,2.5,1482,0.109,4,0.893,13632.0,29,1,0
3118,76,0.767,1190,0.087,3,0.553,13608.0,43,3,0
2326,50,0.429,0,0.0,2,0.587,2886.0,43,1,1
8964,76,1.054,289,0.008,3,0.95,34516.0,46,3,1
3763,75,0.875,1488,0.595,3,0.56,2502.0,42,1,0
4172,70,0.75,0,0.0,6,0.745,1592.0,42,3,0
3563,73,0.553,1375,0.105,3,0.742,13109.0,52,1,0
2775,33,0.435,0,0.0,4,0.906,1848.0,36,3,1
1390,30,0.25,1814,0.247,4,0.472,7345.0,57,3,0
5678,81,0.8,0,0.0,3,0.788,1596.0,47,1,0
5236,77,1.026,1697,0.516,1,0.711,3287.0,43,1,0
4614,75,0.974,604,0.266,3,0.987,2272.0,35,3,0
1449,27,1.455,0,0.0,4,1.337,1438.3,61,3,0
4740,88,0.796,0,0.0,3,0.82,20114.0,50,3,0
15886,118,0.662,2209,0.591,1,0.98,3736.0,58,0,0
4883,73,0.825,835,0.323,4,0.721,2586.0,37,1,0
1197,23,1.3,1374,0.093,4,0.921,14784.0,59,0,0
3591,59,0.788,0,0.0,6,0.698,1669.0,43,3,0
4241,61,0.968,1172,0.224,5,0.825,5239.0,48,1,0
1970,51,0.645,1953,0.137,6,0.651,14228.0,48,3,0
1920,34,0.619,1435,0.475,3,0.62,3023.0,35,3,0
1637,22,1.0,2517,0.52,5,0.445,4840.0,53,3,0
1378,30,0.429,1047,0.03,6,0.61,34516.0,56,3,0
4329,80,0.86,1772,0.365,3,0.561,4860.0,51,1,0
14762,108,0.742,1660,0.101,4,0.629,16453.0,45,3,0
4401,60,1.069,0,0.0,6,0.966,9966.0,50,1,0
3793,86,0.654,1328,0.121,3,0.617,11012.0,53,1,0
1170,23,0.769,1433,0.497,5,1.017,2885.0,53,3,0
4125,80,0.86,1424,0.119,6,0.749,11997.0,47,3,0
3093,77,0.878,1535,0.092,3,1.042,16766.0,28,2,0
1761,42,0.909,2035,0.77,3,1.119,2642.0,32,3,0
1534,29,0.933,1257,0.262,3,1.134,4789.0,36,3,0
15584,105,0.81,1409,0.067,3,0.767,21032.0,55,1,0
3863,67,0.811,1217,0.223,6,0.66,5455.0,51,3,0
4776,87,1.023,1465,0.42,1,0.653,3485.0,56,3,0
2546,62,0.879,1116,0.212,6,0.664,5260.0,36,2,0
1572,57,0.357,0,0.0,3,0.583,3764.0,38,1,0
1982,43,0.303,0,0.0,3,0.403,8953.0,38,3,1
2660,62,1.0,1607,0.722,5,0.656,2226.0,36,1,0
7721,75,0.667,796,0.023,2,0.841,34516.0,39,3,1
2784,49,0.581,0,0.0,1,0.637,1789.0,47,3,1
4399,80,0.6,1664,0.743,6,0.691,2240.0,44,1,0
2214,56,0.6,2160,0.774,3,0.825,2791.0,34,1,0
8092,80,0.667,1665,0.048,3,0.883,34496.0,44,3,0
4431,67,1.094,911,0.278,1,0.665,3281.0,52,3,0
1805,34,0.619,2435,0.071,3,0.732,34516.0,49,3,0
3761,70,0.628,0,0.0,5,0.674,11314.0,39,1,0
1747,49,0.581,1355,0.224,3,0.685,6041.0,56,3,0
902,31,0.409,0,0.0,3,0.699,1438.3,62,3,0
1959,50,0.724,1746,0.076,4,0.807,23124.0,41,0,0
2448,58,0.45,1912,0.175,2,0.362,10946.0,50,3,0
3023,53,0.767,2152,0.165,4,1.424,13005.0,36,1,0
1591,37,0.321,2266,0.732,4,0.724,3094.0,65,3,0
2580,61,0.649,1716,0.103,6,1.025,16604.0,28,1,0
1770,46,1.0,1829,0.33,5,0.673,5546.0,35,3,0
1771,47,0.516,812,0.492,3,0.548,1652.0,49,2,0
2222,54,0.636,0,0.0,3,0.482,3292.0,55,1,1
4217,72,0.5,814,0.566,5,0.675,1438.3,54,1,0
2754,55,0.667,0,0.0,5,0.656,2069.0,46,0,1
4183,67,0.489,991,0.2,6,0.342,4953.0,41,3,0
807,22,0.692,0,0.0,1,0.644,1438.3,53,3,1
4827,70,0.75,0,0.0,6,0.625,18295.0,40,3,0
14471,93,0.603,1130,0.176,2,0.756,6407.0,32,1,0
3798,56,1.24,0,0.0,3,0.582,4694.0,49,0,0
1391,40,0.212,862,0.599,6,0.65,1438.3,50,3,0
8757,68,0.789,0,0.0,4,0.912,5173.0,50,1,1
4256,70,1.121,689,0.124,3,0.985,5577.0,64,1,0
4519,78,0.733,1961,0.794,5,0.802,2470.0,46,3,0
3393,58,0.871,1236,0.065,5,0.542,19063.0,53,1,0
1984,36,1.0,1582,0.296,4,0.537,5344.0,47,1,0
3601,66,0.65,2126,0.804,3,0.748,2644.0,46,3,0
3968,73,0.698,912,0.561,5,0.877,1625.0,40,1,0
1416,32,0.778,1923,0.079,4,0.505,24480.0,47,1,0
5039,85,0.809,0,0.0,6,0.917,4167.0,60,3,0
4473,72,0.6,940,0.052,4,0.629,18056.0,44,1,0
2825,93,0.824,1270,0.207,6,0.913,6131.0,34,1,0
2579,68,0.659,1712,0.196,5,0.895,8744.0,30,1,0
3906,64,0.684,2233,0.36,6,0.662,6205.0,49,1,0
4331,89,0.935,0,0.0,3,0.915,1469.0,31,2,0
4768,82,0.864,1585,0.126,4,0.586,12618.0,39,1,0
5219,63,0.75,1786,0.683,4,0.876,2616.0,43,3,0
4414,77,0.878,1830,0.612,3,0.777,2991.0,34,3,0
2507,64,0.641,765,0.027,5,0.68,28200.0,36,1,0
4478,76,0.727,2449,0.128,3,1.0,19110.0,41,1,0
1495,39,0.393,0,0.0,6,0.871,1438.3,44,3,0
2759,65,0.806,1263,0.037,4,0.603,34516.0,34,1,0
2411,41,0.281,0,0.0,3,0.537,7102.0,26,1,0
2040,65,0.711,1619,0.737,6,0.656,2196.0,41,1,0
8520,89,0.589,2414,0.087,3,0.752,27720.0,47,3,0
2022,52,0.733,825,0.024,3,0.616,34516.0,41,3,1
4432,61,0.605,0,0.0,5,0.53,13745.0,50,3,0
1739,38,0.226,1252,0.116,6,0.489,10797.0,54,0,1
4240,67,0.396,1574,0.207,1,0.605,7600.0,45,1,0
1699,48,0.846,2517,0.073,4,0.697,34516.0,48,2,0
12878,104,0.825,1356,0.039,2,0.71,34516.0,42,3,0
8195,94,0.679,1766,0.11,2,0.791,15987.0,38,1,0
1459,20,0.538,0,0.0,3,0.564,4760.0,62,3,0
1226,25,0.923,1662,0.067,3,0.693,24850.0,43,0,0
1978,33,0.833,1092,0.328,5,1.466,3329.0,53,3,0
3543,62,0.676,1626,0.167,4,1.006,9727.0,48,3,0
1243,29,0.611,1951,0.615,4,0.766,3174.0,55,3,0
2102,32,1.133,2517,0.436,3,1.201,5779.0,35,3,0
1402,38,0.31,0,0.0,5,0.275,8668.0,42,1,1
3669,58,0.812,813,0.468,5,0.756,1737.0,57,1,0
1793,44,0.833,0,0.0,5,0.646,34516.0,49,1,0
2140,49,0.69,1205,0.147,5,0.965,8184.0,58,3,0
4629,75,0.923,1661,0.492,6,0.618,3376.0,42,1,0
4878,86,0.87,0,0.0,1,0.77,2984.0,37,3,0
2186,44,0.467,2488,0.126,4,0.594,19793.0,55,2,1
4463,89,0.679,1649,0.545,3,0.587,3024.0,53,3,0
4851,84,0.867,1262,0.622,6,0.862,2030.0,56,3,0
1540,32,0.185,2351,0.785,6,0.469,2994.0,58,3,0
3364,61,0.564,0,0.0,5,0.51,12856.0,55,1,0
7889,98,0.508,814,0.024,2,0.735,34516.0,51,0,0
4033,73,0.327,0,0.0,6,0.461,25133.0,39,1,0
7300,77,0.638,1143,0.115,2,0.661,9959.0,49,2,0
2278,77,1.139,1608,0.057,3,0.913,28410.0,65,1,0
1847,59,0.405,960,0.155,4,0.709,6175.0,54,3,0
2730,58,0.758,1403,0.247,6,0.951,5677.0,52,3,0
3281,39,0.393,0,0.0,5,0.542,3536.0,51,3,1
1364,40,0.538,2158,0.115,5,0.446,18797.0,46,3,0
8798,67,0.675,0,0.0,6,0.978,4720.0,41,1,1
3537,73,0.738,2517,0.107,3,0.762,23424.0,47,3,0
2440,48,0.846,1385,0.6,3,1.515,2307.0,33,3,0
1438,28,0.556,1466,0.202,5,0.512,7262.0,39,0,0
2413,53,0.606,0,0.0,2,0.598,12871.0,38,1,1
9980,68,0.744,0,0.0,6,0.918,18418.0,49,1,1
4833,85,0.667,2054,0.675,2,0.735,3043.0,33,1,0
14330,116,0.681,2448,0.443,2,0.862,5520.0,52,0,0
1468,34,0.619,1798,0.295,4,0.705,6103.0,58,1,0
15554,99,0.678,1816,0.128,1,0.978,14217.0,50,1,0
3284,65,0.477,1847,0.054,6,0.527,34516.0,52,3,0
4447,74,0.574,0,0.0,6,0.52,11634.0,46,3,0
2220,53,0.828,0,0.0,3,0.545,11558.0,36,1,0
15312,122,0.718,1556,0.37,2,0.658,4207.0,47,3,0
4643,76,0.617,0,0.0,1,0.769,1766.0,52,1,0
8109,74,0.762,0,0.0,2,0.943,7769.0,41,3,1
695,10,0.25,0,0.0,3,0.418,22382.0,32,3,1
1924,48,0.92,2044,0.598,4,0.994,3416.0,52,1,0
2679,45,0.8,0,0.0,3,1.504,7185.0,33,3,0
15279,122,0.649,1285,0.037,5,0.654,34516.0,48,0,0
9277,92,0.769,2073,0.322,1,0.8,6443.0,47,2,0
1921,26,0.444,1527,0.575,5,0.715,2655.0,35,3,0
4786,81,0.723,1163,0.608,5,0.871,1912.0,48,3,0
1694,32,0.778,1407,0.273,3,0.666,5154.0,47,1,0
2567,43,0.593,0,0.0,2,0.87,2054.0,37,1,1
3275,60,0.5,2157,0.127,5,0.629,16920.0,48,3,0
705,19,0.9,808,0.562,2,0.997,1438.3,54,3,1
2520,49,0.531,0,0.0,1,0.602,1699.0,53,1,1
5137,89,0.679,1414,0.606,4,0.632,2333.0,49,3,0
8291,69,1.029,0,0.0,2,0.801,6224.0,59,1,1
3784,69,0.683,1179,0.049,3,0.671,23858.0,52,3,0
1199,32,0.6,1138,0.517,5,0.675,2201.0,61,1,0
2163,56,0.4,1380,0.04,4,0.66,34516.0,46,3,0
4862,77,0.453,2517,0.847,4,0.588,2973.0,53,1,0
5052,81,0.761,0,0.0,5,0.969,2653.0,55,3,0
4171,75,1.206,1288,0.473,1,0.613,2724.0,44,2,0
1949,43,0.483,0,0.0,5,0.517,9924.0,41,3,1
2042,40,0.481,2080,0.412,5,0.738,5045.0,41,1,1
1850,34,1.125,1909,0.763,5,0.956,2501.0,34,3,0
15573,99,0.768,1255,0.094,2,0.742,13409.0,41,1,0
1254,35,0.842,0,0.0,2,1.036,1438.3,57,3,1
8935,87,0.933,2517,0.569,2,0.84,4423.0,40,2,1
4311,77,0.833,0,0.0,4,0.906,1438.3,46,2,0
4139,58,0.812,1759,0.138,6,1.056,12725.0,44,3,0
4064,65,0.806,2505,0.571,4,0.806,4386.0,59,1,0
15236,120,0.875,0,0.0,1,0.827,23981.0,36,3,0
3847,76,0.9,1488,0.336,6,0.669,4433.0,40,1,0
2625,63,0.5,0,0.0,4,0.5,3427.0,40,1,1
4977,88,0.692,1468,0.645,6,0.757,2275.0,34,3,0
975,11,0.833,1001,0.145,4,0.786,6884.0,40,3,0
1230,28,0.867,1626,0.174,5,0.701,9355.0,50,3,0
4715,66,0.65,1489,0.755,5,0.69,1972.0,49,2,0
2253,39,0.345,0,0.0,3,0.493,1960.0,49,0,1
1368,38,0.407,1304,0.42,3,0.604,3106.0,51,3,0
2028,43,0.303,0,0.0,4,0.482,19138.0,53,3,1
4926,90,0.731,2467,0.881,5,0.701,2801.0,52,1,0
2945,69,0.408,1381,0.636,3,1.145,2172.0,32,3,0
2053,33,1.75,1445,0.334,6,1.07,4331.0,36,3,0
7023,86,0.654,2399,0.362,1,0.681,6636.0,46,1,0
15391,94,0.593,1155,0.319,1,0.727,3616.0,35,3,0
2186,50,0.562,0,0.0,3,0.747,1896.0,63,1,1
2581,57,0.781,1203,0.641,5,0.654,1877.0,44,2,1
1337,44,0.76,1660,0.067,4,0.588,24602.0,42,3,0
2776,59,0.735,2010,0.058,6,0.594,34516.0,50,3,0
725,22,0.0,0,0.0,2,0.153,13662.0,37,3,1
9389,106,0.797,1132,0.033,2,0.84,34516.0,38,0,0
1481,45,0.452,2025,0.253,4,0.789,8013.0,41,3,0
2043,52,0.793,1421,0.23,6,0.669,6174.0,53,3,0
13836,113,0.766,1930,0.28,1,0.915,6882.0,44,1,0
2123,44,0.571,0,0.0,3,0.569,1809.0,55,3,1
1658,38,0.357,2222,0.16,6,0.853,13878.0,47,2,0
4626,78,0.773,1912,0.632,6,0.674,3025.0,51,3,0
1388,41,0.464,0,0.0,3,0.824,3126.0,50,3,0
1986,52,0.486,0,0.0,4,0.406,1438.3,38,1,1
4756,85,0.735,1146,0.523,6,0.622,2192.0,53,3,0
1959,42,0.909,888,0.026,5,1.299,34516.0,51,1,0
4790,77,0.75,1484,0.765,3,0.576,1939.0,38,1,0
8686,91,0.625,1180,0.532,1,0.768,2219.0,46,3,0
3536,69,0.769,2517,0.425,5,0.817,5928.0,42,3,0
4919,83,0.627,0,0.0,5,0.76,1438.3,56,1,0
2006,34,0.545,1272,0.388,5,0.799,3281.0,39,3,0
1867,34,0.478,0,0.0,3,0.544,4697.0,55,3,1
16712,123,0.708,1913,0.055,3,0.851,34516.0,51,1,0
3863,72,0.756,2005,0.065,4,0.52,30928.0,26,3,0
2819,48,0.6,0,0.0,5,0.689,1438.3,34,0,1
9867,78,0.902,0,0.0,5,0.924,5768.0,38,3,1
1255,30,0.304,2118,0.188,4,0.534,11281.0,56,3,0
4511,82,0.822,1437,0.451,5,0.79,3187.0,55,1,0
2386,49,0.485,2283,0.86,1,0.751,2655.0,49,1,1
2449,67,0.634,0,0.0,5,0.714,6590.0,37,1,0
1406,31,0.24,1919,0.59,5,0.56,3251.0,54,3,0
2603,56,0.806,690,0.048,5,1.32,14315.0,40,1,0
4503,89,0.712,2517,0.867,2,0.586,2904.0,52,1,0
3428,54,0.5,1700,0.074,6,0.636,22938.0,53,1,0
5066,75,0.786,2145,0.665,1,0.644,3226.0,43,1,0
1716,29,0.812,0,0.0,6,1.373,8135.0,48,1,0
4945,78,0.56,912,0.072,3,0.64,12621.0,38,3,0
4309,79,0.837,1258,0.558,6,0.96,2255.0,39,1,0
3896,58,0.812,1720,0.711,5,1.019,2418.0,50,3,0
3422,78,0.529,1323,0.038,6,0.934,34516.0,49,1,0
4449,81,0.723,0,0.0,4,0.716,15578.0,45,1,0
2833,42,0.355,0,0.0,1,0.798,1866.0,42,3,1
14672,110,0.803,1420,0.041,1,0.848,34516.0,42,3,0
2345,33,0.435,1327,0.785,4,0.774,1691.0,44,3,1
4546,78,0.5,1152,0.589,4,0.899,1957.0,58,3,0
2201,39,0.345,1340,0.45,3,0.507,2977.0,36,3,1
1370,38,0.357,0,0.0,4,0.536,34516.0,43,2,1
2272,57,0.541,1614,0.6,5,0.513,2690.0,50,3,1
3941,64,0.455,1835,0.62,6,0.532,2960.0,49,3,0
3796,74,1.056,1176,0.202,2,0.627,5814.0,48,3,0
4938,70,0.892,1044,0.199,2,0.673,5245.0,37,3,0
2214,46,0.484,1506,0.52,6,0.618,2897.0,50,3,1
2434,45,0.406,671,0.353,5,0.736,1899.0,48,1,1
3448,103,0.635,0,0.0,6,0.699,9857.0,33,2,0
1464,32,0.778,0,0.0,2,0.618,2121.0,53,1,1
4791,101,0.629,1151,0.345,3,0.752,3334.0,60,1,0
2754,60,0.463,1250,0.046,4,0.641,27389.0,35,1,0
4683,87,0.706,0,0.0,6,0.678,1511.0,57,3,0
4301,71,0.651,1870,0.199,3,0.714,9396.0,42,1,0
4252,70,0.591,1338,0.15,3,0.741,8896.0,47,1,0
2853,64,0.73,1308,0.046,3,0.679,28186.0,52,1,0
2675,37,0.48,0,0.0,3,0.735,3474.0,52,3,1
2326,31,0.55,613,0.369,4,0.868,1662.0,43,2,1
3979,63,0.5,2232,0.112,6,0.672,19897.0,44,3,0
3520,66,1.0,1517,0.33,4,1.292,4602.0,45,3,0
2232,41,0.464,0,0.0,3,0.547,4139.0,42,3,1
3068,77,0.711,2517,0.319,6,0.738,7881.0,44,1,0
13355,92,0.84,787,0.077,2,0.739,10284.0,27,1,0
1958,41,1.05,1961,0.073,5,0.641,26977.0,46,1,0
4191,65,0.757,1202,0.317,4,0.695,3797.0,51,3,0
1752,34,1.125,2517,0.727,4,1.144,3460.0,60,3,0
4600,76,0.617,1218,0.847,6,0.752,1438.3,48,0,0
3542,59,0.639,1474,0.542,4,0.71,2718.0,45,1,0
8436,77,0.878,1813,0.074,2,0.745,24533.0,50,1,0
7345,73,0.738,2065,0.726,2,0.638,2844.0,39,1,0
5051,83,0.66,2055,0.284,2,0.703,7234.0,56,3,0
4473,76,0.9,1655,0.664,5,0.907,2493.0,45,3,0
7341,71,0.732,550,0.016,1,0.674,34516.0,52,3,1
1886,66,0.65,0,0.0,6,0.928,1888.0,36,1,0
4416,68,0.744,0,0.0,5,0.735,1438.3,41,2,0
1707,56,0.514,1210,0.164,3,0.946,7372.0,58,1,0
3918,67,1.094,0,0.0,5,0.452,34516.0,54,1,0
4540,78,0.56,0,0.0,6,0.463,28829.0,46,0,0
4178,69,0.605,1721,0.057,3,0.717,30428.0,45,3,0
2033,56,0.867,1747,0.155,5,0.503,11277.0,37,1,0
5140,82,0.519,641,0.446,3,0.66,1438.3,57,0,0
4587,92,0.878,0,0.0,4,0.713,2256.0,38,1,0
4918,81,0.8,0,0.0,3,0.888,2426.0,34,2,0
4932,67,0.914,1905,0.414,4,0.906,4597.0,52,3,0
4269,78,0.857,1689,0.668,3,0.514,2528.0,50,1,0
1222,37,0.423,0,0.0,6,0.398,14270.0,57,3,0
1861,46,0.278,2517,0.231,1,0.266,10882.0,60,1,1
14614,106,0.656,1784,0.228,4,0.711,7832.0,53,3,0
4014,70,0.489,1577,0.137,6,0.756,11498.0,45,3,0
731,18,0.5,0,0.0,3,0.749,6705.0,59,3,1
1447,23,0.0,1771,0.214,6,0.0,8258.0,46,2,1
2361,49,0.633,1468,0.287,3,0.91,5116.0,47,1,0
13432,118,0.815,1530,0.454,2,0.828,3371.0,32,1,0
7788,94,0.469,1634,0.047,1,0.768,34516.0,49,3,0
8838,97,0.732,2151,0.125,2,0.701,17277.0,41,3,0
3210,65,0.667,1808,0.087,3,0.572,20895.0,49,1,0
4346,70,0.795,1989,0.443,4,0.604,4490.0,47,3,0
3403,68,0.417,892,0.156,5,0.589,5719.0,55,1,0
5253,82,0.745,1431,0.749,6,0.851,1910.0,46,1,0
2273,44,0.517,0,0.0,1,0.429,3032.0,42,3,1
2611,43,0.483,0,0.0,3,1.058,2858.0,45,1,1
2250,39,0.857,1557,0.381,5,1.248,4088.0,56,3,0
4772,76,0.9,706,0.214,1,0.814,3306.0,41,3,0
13234,92,0.84,0,0.0,1,0.767,3731.0,33,3,0
4317,83,0.886,1594,0.391,1,0.678,4072.0,47,0,0
1413,46,0.394,2134,0.717,5,0.579,2978.0,44,0,0
4862,77,0.878,1172,0.098,4,0.614,11946.0,42,2,0
596,15,0.5,2238,0.548,2,0.568,4085.0,58,3,1
2196,35,0.75,0,0.0,3,0.729,2796.0,57,3,1
5022,85,0.771,0,0.0,2,0.797,3269.0,44,1,0
2403,48,0.548,0,0.0,3,0.634,3517.0,44,1,1
2660,89,0.712,0,0.0,3,0.745,1438.3,26,2,0
3870,73,0.46,1418,0.318,4,0.92,4464.0,40,2,0
1334,32,0.6,2117,0.829,3,1.049,2555.0,40,2,0
1739,35,0.842,0,0.0,3,0.815,7056.0,36,3,0
4871,79,0.975,1405,0.418,3,0.684,3359.0,61,3,0
2342,40,0.6,0,0.0,6,0.831,4535.0,56,3,1
4062,71,0.578,0,0.0,3,0.726,7840.0,40,3,0
4391,79,0.837,1587,0.784,3,0.647,2023.0,37,3,0
1560,49,0.4,1295,0.109,5,0.84,11840.0,46,1,0
7914,54,0.862,0,0.0,2,0.882,4178.0,55,1,1
4571,72,0.756,1053,0.461,4,0.854,2283.0,39,3,0
3772,74,1.0,2517,0.759,4,0.862,3317.0,38,3,0
4917,78,0.95,1516,0.636,5,0.857,2383.0,53,2,0
4657,78,0.696,1147,0.069,5,0.799,16665.0,38,1,0
1650,53,0.606,1728,0.719,5,0.652,2402.0,60,1,0
3762,74,1.0,0,0.0,4,0.804,19074.0,39,1,0
4758,83,0.456,1242,0.081,5,0.725,15248.0,53,2,0
3283,56,1.0,1073,0.049,4,0.908,21877.0,52,3,0
1805,46,0.769,0,0.0,5,0.5,1856.0,63,1,1
4508,83,1.075,2084,0.657,4,0.636,3174.0,32,3,0
2680,51,0.545,2517,0.655,1,0.841,3841.0,52,3,1
4282,69,0.725,0,0.0,6,0.797,1438.3,39,3,0
3962,70,0.795,1428,0.21,5,0.747,6797.0,62,1,0
8534,86,0.83,1907,0.143,3,0.832,13344.0,46,3,1
4308,75,0.786,0,0.0,6,0.79,6275.0,42,1,0
5207,79,0.927,0,0.0,4,0.835,2712.0,40,3,0
4120,77,0.711,1134,0.526,4,0.669,2156.0,54,3,0
2098,52,0.733,2145,0.352,5,1.371,6088.0,65,3,0
3446,71,0.578,0,0.0,3,0.936,2046.0,50,3,0
2820,62,0.879,1815,0.312,6,1.132,5825.0,35,3,0
3463,65,0.711,1448,0.213,3,0.836,6805.0,48,3,0
1198,33,0.833,1249,0.077,3,1.01,16138.0,47,3,0
1585,40,0.905,1248,0.623,4,0.502,2002.0,51,3,0
14133,124,0.771,0,0.0,1,0.739,6765.0,58,3,0
3807,61,0.564,1504,0.375,3,0.766,4010.0,65,1,0
4712,88,0.517,0,0.0,3,0.53,19090.0,57,1,0
13392,92,0.736,2087,0.656,2,0.752,3181.0,54,3,0
2753,43,0.654,0,0.0,3,1.047,2761.0,32,1,1
4600,69,0.683,501,0.271,3,0.653,1848.0,50,1,0
1546,41,0.577,0,0.0,5,0.712,33791.0,48,3,0
1924,50,0.667,1170,0.513,6,0.603,2280.0,52,3,0
2189,51,0.7,1154,0.204,4,0.702,5655.0,41,1,1
7963,85,0.574,1054,0.295,2,0.775,3569.0,40,1,0
1766,46,0.533,417,0.063,3,0.584,6572.0,48,1,1
1312,29,0.526,2151,0.295,5,0.583,7290.0,53,3,0
1673,44,0.257,0,0.0,6,0.578,4702.0,50,3,0
4768,81,0.929,2382,0.269,3,0.67,8854.0,47,3,0
7561,91,0.685,2018,0.259,2,0.684,7801.0,49,1,0
3967,75,0.923,1641,0.394,1,0.719,4162.0,42,3,0
4917,66,0.784,1943,0.695,4,0.899,2797.0,42,3,0
1931,35,0.75,2159,0.312,4,0.895,6921.0,35,3,0
1887,60,0.538,1253,0.758,6,0.508,1654.0,58,3,0
2198,56,0.697,2517,0.345,6,0.83,7291.0,40,1,0
1720,42,0.556,1390,0.135,3,0.593,10266.0,41,1,0
3157,76,0.551,0,0.0,6,1.002,13241.0,47,1,0
